customer_id,claim_id,policy_id,claim_date,incident_type,fault_status,claim_amount,settlement_amount,claim_status,reported_by,injury_involved,repair_shop
CUST000101,CLM000101,POL000746,10/08/2021,Collision,Not At Fault,6065,5566,Closed,Policyholder,Yes,Approved Network
CUST000102,CLM000102,POL000688,08/03/2022,Other,Not At Fault,11588,0,Pending,Policyholder,No,Approved Network
CUST000103,CLM000103,POL000392,20/07/2022,Collision,Not At Fault,4988,4933,Closed,Policyholder,No,Customer Choice
CUST000104,CLM000104,POL000969,23/08/2021,Collision,Not At Fault,23834,0,Open,Third Party,Yes,Customer Choice
CUST000105,CLM000105,POL000143,02/04/2022,Collision,Disputed,9406,0,Open,Policyholder,Yes,Approved Network
CUST000106,CLM000106,POL001056,12/11/2023,Collision,Not At Fault,2427,2075,Closed,Policyholder,No,Approved Network
CUST000107,CLM000107,POL000181,31/05/2023,Collision,At Fault,16012,13419,Closed,Police,No,Approved Network
CUST000108,CLM000108,POL000579,06/09/2022,Other,Disputed,8801,0,Denied,Policyholder,Yes,Approved Network
CUST000109,CLM000109,POL000798,10/11/2023,Other,Not At Fault,21813,19978,Closed,Police,No,Approved Network
CUST000110,CLM000110,POL000269,04/08/2022,Collision,At Fault,8957,8422,Closed,Third Party,No,Approved Network
CUST000111,CLM000111,POL001260,20/11/2022,Collision,Disputed,5992,0,Open,Policyholder,No,Approved Network
CUST000112,CLM000112,POL001301,06/01/2022,Other,At Fault,3723,0,Pending,Policyholder,Yes,Approved Network
CUST000113,CLM000113,POL000553,17/04/2023,Collision,At Fault,23011,0,Denied,Policyholder,No,Customer Choice
CUST000114,CLM000114,POL000633,21/02/2022,Collision,Not At Fault,21955,21226,Closed,Policyholder,No,Approved Network
CUST000115,CLM000115,POL000275,06/12/2021,Theft,At Fault,1454,1198,Closed,Policyholder,Yes,Customer Choice
CUST000116,CLM000116,POL000743,29/09/2023,Theft,Not At Fault,23934,0,Open,Policyholder,No,Approved Network
CUST000117,CLM000117,POL000086,26/07/2021,Collision,At Fault,10041,9629,Closed,Policyholder,Yes,Customer Choice
CUST000118,CLM000118,POL001087,03/09/2021,Flood,At Fault,15507,0,Open,Policyholder,No,Approved Network
CUST000119,CLM000119,POL000404,13/08/2022,Vandalism,Not At Fault,2074,1894,Closed,Policyholder,No,Customer Choice
CUST000120,CLM000120,POL000192,17/05/2022,Collision,Not At Fault,23552,0,Pending,Third Party,Yes,Approved Network
CUST000121,CLM000121,POL001317,12/07/2023,Other,At Fault,16174,15502,Closed,Policyholder,Yes,Write Off
CUST000122,CLM000122,POL001055,01/04/2022,Vandalism,Disputed,15926,13846,Closed,Third Party,No,Customer Choice
CUST000123,CLM000123,POL001354,16/11/2021,Collision,Not At Fault,7595,6243,Closed,Policyholder,Yes,Approved Network
CUST000124,CLM000124,POL000107,21/12/2021,Collision,At Fault,12523,10039,Closed,Third Party,No,Approved Network
CUST000125,CLM000125,POL000622,24/05/2022,Collision,At Fault,24604,24245,Closed,Policyholder,No,Customer Choice
CUST000126,CLM000126,POL000276,04/08/2022,Theft,Not At Fault,3755,0,Open,Policyholder,No,Write Off
CUST000127,CLM000127,POL000651,07/10/2022,Collision,Not At Fault,1558,0,Pending,Policyholder,No,Customer Choice
CUST000128,CLM000128,POL000556,30/09/2022,Theft,At Fault,2457,2037,Closed,Policyholder,No,Customer Choice
CUST000129,CLM000129,POL001106,01/12/2022,Collision,At Fault,23532,0,Open,Policyholder,Yes,Customer Choice
CUST000130,CLM000130,POL001088,07/05/2023,Fire,Not At Fault,5444,0,Open,Policyholder,Yes,Approved Network
CUST000131,CLM000131,POL000567,12/08/2023,Flood,At Fault,5558,0,Denied,Policyholder,Yes,Approved Network
CUST000132,CLM000132,POL000586,12/11/2021,Theft,Not At Fault,3019,2826,Closed,Policyholder,No,Approved Network
CUST000133,CLM000133,POL000885,15/05/2023,Fire,Disputed,12345,0,Denied,Policyholder,No,Customer Choice
CUST000134,CLM000134,POL000129,22/08/2022,Other,At Fault,24797,22432,Closed,Policyholder,No,Approved Network
CUST000135,CLM000135,POL000256,30/05/2022,Vandalism,Disputed,3070,2633,Closed,Policyholder,No,Approved Network
CUST000136,CLM000136,POL000934,11/05/2023,Collision,Disputed,7950,0,Pending,Other,No,Approved Network
CUST000137,CLM000137,POL000231,06/01/2023,Theft,Disputed,20771,0,Open,Policyholder,Yes,Customer Choice
CUST000138,CLM000138,POL001161,04/07/2022,Other,Disputed,8203,7478,Closed,Third Party,Yes,Approved Network
CUST000139,CLM000139,POL000863,21/09/2023,Collision,Not At Fault,23301,19398,Closed,Policyholder,No,Approved Network
CUST000140,CLM000140,POL001479,11/06/2021,Collision,Not At Fault,16398,0,Pending,Policyholder,No,Approved Network
CUST000141,CLM000141,POL000355,27/12/2022,Vandalism,Not At Fault,14889,13360,Closed,Policyholder,No,Approved Network
CUST000142,CLM000142,POL000146,11/08/2023,Fire,Not At Fault,15914,12936,Closed,Policyholder,No,Customer Choice
CUST000143,CLM000143,POL001057,02/02/2023,Flood,Disputed,1244,1068,Closed,Police,No,Approved Network
CUST000144,CLM000144,POL000260,21/12/2021,Collision,At Fault,23304,20758,Closed,Policyholder,Yes,Customer Choice
CUST000145,CLM000145,POL000087,19/08/2021,Collision,At Fault,4014,0,Open,Third Party,No,Approved Network
CUST000146,CLM000146,POL000843,11/06/2023,Other,At Fault,19814,16712,Closed,Policyholder,No,Approved Network
CUST000147,CLM000147,POL000265,15/04/2023,Collision,Not At Fault,22421,21638,Closed,Policyholder,Yes,Approved Network
CUST000148,CLM000148,POL000392,14/01/2023,Collision,Not At Fault,11371,9377,Closed,Policyholder,No,Approved Network
CUST000149,CLM000149,POL000232,22/02/2023,Theft,Not At Fault,14036,12599,Closed,Policyholder,No,Approved Network
CUST000150,CLM000150,POL000901,27/10/2021,Hail,At Fault,23597,18901,Closed,Policyholder,No,Approved Network
CUST000151,CLM000151,POL000588,28/04/2022,Flood,Not At Fault,675,587,Closed,Policyholder,Yes,Customer Choice
CUST000152,CLM000152,POL000447,12/04/2023,Other,At Fault,17449,0,Denied,Policyholder,Yes,Write Off
CUST000153,CLM000153,POL001153,22/09/2023,Collision,Not At Fault,3717,0,Pending,Other,Yes,Write Off
CUST000154,CLM000154,POL001295,22/06/2023,Collision,At Fault,15606,15088,Closed,Policyholder,Yes,Write Off
CUST000155,CLM000155,POL001113,01/07/2023,Collision,Disputed,14196,0,Pending,Third Party,No,Approved Network
CUST000156,CLM000156,POL000466,24/09/2023,Other,Not At Fault,21241,0,Denied,Policyholder,No,Approved Network
CUST000157,CLM000157,POL000934,25/06/2023,Theft,Not At Fault,22857,18513,Closed,Policyholder,No,Approved Network
CUST000158,CLM000158,POL001194,21/06/2023,Collision,Not At Fault,10086,8346,Closed,Police,No,Approved Network
CUST000159,CLM000159,POL000128,21/04/2022,Flood,Not At Fault,6302,0,Open,Third Party,Yes,Customer Choice
CUST000160,CLM000160,POL001198,15/06/2021,Collision,At Fault,7534,0,Pending,Policyholder,No,Customer Choice
CUST000161,CLM000161,POL001050,02/11/2021,Theft,Not At Fault,16763,16356,Closed,Policyholder,No,Customer Choice
CUST000162,CLM000162,POL000573,13/09/2022,Other,Disputed,9912,0,Open,Policyholder,No,Customer Choice
CUST000163,CLM000163,POL000511,30/10/2021,Collision,Not At Fault,17831,17065,Closed,Third Party,Yes,Approved Network
CUST000164,CLM000164,POL000488,25/10/2022,Collision,Not At Fault,9276,0,Pending,Policyholder,No,Approved Network
CUST000165,CLM000165,POL000891,03/11/2023,Collision,Disputed,11554,10403,Closed,Third Party,No,Approved Network
CUST000166,CLM000166,POL000579,21/04/2022,Collision,Not At Fault,10312,0,Pending,Policyholder,No,Write Off
CUST000167,CLM000167,POL000950,25/09/2021,Collision,Not At Fault,20239,0,Pending,Policyholder,Yes,Write Off
CUST000168,CLM000168,POL000406,21/08/2023,Fire,Not At Fault,22135,21951,Closed,Police,No,Approved Network
CUST000169,CLM000169,POL001050,22/04/2023,Collision,Disputed,20075,18311,Closed,Other,No,Approved Network
CUST000170,CLM000170,POL001107,22/07/2022,Other,Disputed,22731,22520,Closed,Policyholder,Yes,Approved Network
CUST000171,CLM000171,POL000364,25/02/2022,Collision,Disputed,11899,0,Denied,Police,No,Approved Network
CUST000172,CLM000172,POL001391,16/11/2022,Collision,Not At Fault,15463,0,Pending,Third Party,Yes,Customer Choice
CUST000173,CLM000173,POL001084,10/06/2023,Collision,At Fault,23600,0,Denied,Third Party,No,Approved Network
CUST000174,CLM000174,POL000551,04/06/2021,Flood,At Fault,11268,10621,Closed,Other,No,Approved Network
CUST000175,CLM000175,POL000292,05/09/2022,Theft,At Fault,1031,854,Closed,Policyholder,Yes,Approved Network
CUST000176,CLM000176,POL000789,01/10/2023,Hail,Disputed,18115,0,Open,Third Party,No,Write Off
CUST000177,CLM000177,POL000816,26/10/2023,Flood,Disputed,18581,17588,Closed,Police,Yes,Approved Network
CUST000178,CLM000178,POL000191,07/10/2021,Other,Not At Fault,20254,0,Pending,Policyholder,No,Customer Choice
CUST000179,CLM000179,POL000461,12/03/2023,Flood,Not At Fault,18429,16335,Closed,Policyholder,No,Approved Network
CUST000180,CLM000180,POL000664,04/09/2022,Collision,At Fault,11857,0,Open,Policyholder,No,Approved Network
CUST000181,CLM000181,POL000233,17/03/2023,Hail,Not At Fault,1937,0,Open,Third Party,No,Approved Network
CUST000182,CLM000182,POL000474,14/01/2023,Other,Not At Fault,21388,21038,Closed,Third Party,No,Customer Choice
CUST000183,CLM000183,POL001429,08/09/2021,Other,Not At Fault,6002,0,Open,Policyholder,No,Customer Choice
CUST000184,CLM000184,POL000658,08/07/2021,Collision,At Fault,8108,6957,Closed,Policyholder,No,Approved Network
CUST000185,CLM000185,POL000271,10/01/2022,Vandalism,Not At Fault,22881,0,Pending,Policyholder,Yes,Approved Network
CUST000186,CLM000186,POL001158,04/07/2023,Collision,At Fault,6066,4891,Closed,Policyholder,Yes,Customer Choice
CUST000187,CLM000187,POL000171,10/12/2021,Collision,Disputed,24670,24339,Closed,Policyholder,No,Customer Choice
CUST000188,CLM000188,POL001439,05/08/2022,Flood,At Fault,9308,7909,Closed,Policyholder,No,Approved Network
CUST000189,CLM000189,POL000028,15/05/2023,Other,Disputed,21050,0,Pending,Third Party,No,Approved Network
CUST000190,CLM000190,POL000136,12/12/2022,Vandalism,At Fault,4514,0,Open,Policyholder,Yes,Customer Choice
CUST000191,CLM000191,POL000925,02/08/2023,Other,At Fault,19140,0,Denied,Police,No,Approved Network
CUST000192,CLM000192,POL000405,18/11/2021,Collision,Not At Fault,21238,19872,Closed,Policyholder,No,Write Off
CUST000193,CLM000193,POL000977,06/02/2023,Collision,Not At Fault,20194,17715,Closed,Other,No,Customer Choice
CUST000194,CLM000194,POL000888,22/06/2022,Vandalism,Not At Fault,14113,0,Open,Policyholder,No,Approved Network
CUST000195,CLM000195,POL001265,08/01/2022,Collision,At Fault,7899,0,Open,Third Party,No,Customer Choice
CUST000196,CLM000196,POL000856,23/05/2022,Other,At Fault,1431,0,Pending,Policyholder,No,Approved Network
CUST000197,CLM000197,POL000444,01/01/2022,Collision,Not At Fault,19213,16904,Closed,Policyholder,No,Customer Choice
CUST000198,CLM000198,POL000434,13/12/2021,Theft,At Fault,17277,16945,Closed,Policyholder,No,Customer Choice
CUST000199,CLM000199,POL001252,27/04/2023,Theft,At Fault,2965,2901,Closed,Policyholder,Yes,Approved Network
CUST000200,CLM000200,POL000509,12/01/2023,Collision,Not At Fault,20161,0,Pending,Third Party,No,Customer Choice
CUST000201,CLM000201,POL001327,15/06/2021,Other,At Fault,16123,0,Pending,Policyholder,No,Customer Choice
CUST000202,CLM000202,POL000034,15/06/2022,Theft,At Fault,22314,21957,Closed,Other,No,Customer Choice
CUST000203,CLM000203,POL001026,12/09/2023,Theft,At Fault,23886,21960,Closed,Policyholder,Yes,Approved Network
CUST000204,CLM000204,POL000362,08/06/2022,Hail,Disputed,14508,0,Pending,Other,Yes,Approved Network
CUST000205,CLM000205,POL001219,17/06/2021,Collision,At Fault,9317,0,Pending,Policyholder,No,Customer Choice
CUST000206,CLM000206,POL000606,06/04/2022,Hail,Disputed,6488,5415,Closed,Policyholder,No,Write Off
CUST000207,CLM000207,POL001332,11/04/2022,Collision,At Fault,8009,0,Open,Policyholder,No,Approved Network
CUST000208,CLM000208,POL000716,28/10/2022,Collision,Not At Fault,22816,0,Pending,Police,No,Approved Network
CUST000209,CLM000209,POL000250,17/09/2023,Other,At Fault,13349,0,Open,Policyholder,No,Approved Network
CUST000210,CLM000210,POL000147,06/11/2023,Hail,Not At Fault,11571,0,Open,Policyholder,Yes,Approved Network
CUST000211,CLM000211,POL001370,06/10/2021,Collision,Not At Fault,14581,0,Pending,Policyholder,No,Customer Choice
CUST000212,CLM000212,POL000348,18/05/2023,Vandalism,Not At Fault,13728,12178,Closed,Policyholder,No,Customer Choice
CUST000213,CLM000213,POL001278,25/10/2022,Other,Not At Fault,12114,0,Pending,Policyholder,No,Write Off
CUST000214,CLM000214,POL000399,27/03/2023,Collision,Not At Fault,10801,10532,Closed,Policyholder,No,Customer Choice
CUST000215,CLM000215,POL001358,10/09/2022,Collision,At Fault,3281,0,Denied,Third Party,No,Approved Network
CUST000216,CLM000216,POL001200,29/07/2022,Theft,Not At Fault,10583,10168,Closed,Third Party,No,Customer Choice
CUST000217,CLM000217,POL000125,26/07/2022,Collision,Not At Fault,11874,0,Pending,Police,No,Customer Choice
CUST000218,CLM000218,POL000763,27/05/2022,Collision,Disputed,2139,1770,Closed,Policyholder,No,Write Off
CUST000219,CLM000219,POL000398,27/05/2022,Other,At Fault,14338,0,Open,Policyholder,No,Approved Network
CUST000220,CLM000220,POL000131,27/09/2023,Collision,Disputed,9473,9032,Closed,Other,Yes,Approved Network
CUST000221,CLM000221,POL000605,08/12/2022,Hail,Not At Fault,14482,0,Pending,Policyholder,No,Approved Network
CUST000222,CLM000222,POL000892,11/08/2022,Theft,Not At Fault,13384,0,Open,Policyholder,Yes,Approved Network
CUST000223,CLM000223,POL000822,18/11/2022,Vandalism,At Fault,10748,9135,Closed,Police,Yes,Approved Network
CUST000224,CLM000224,POL000902,24/07/2023,Fire,Not At Fault,11015,9729,Closed,Policyholder,Yes,Customer Choice
CUST000225,CLM000225,POL000945,10/05/2022,Theft,Not At Fault,2774,0,Open,Policyholder,No,Customer Choice
CUST000226,CLM000226,POL001431,25/09/2021,Collision,Not At Fault,11330,9516,Closed,Policyholder,No,Approved Network
CUST000227,CLM000227,POL000732,28/11/2021,Collision,Disputed,2980,0,Denied,Policyholder,No,Approved Network
CUST000228,CLM000228,POL000334,13/09/2022,Flood,Not At Fault,7299,6284,Closed,Policyholder,Yes,Write Off
CUST000229,CLM000229,POL001044,13/08/2022,Collision,Not At Fault,9047,7775,Closed,Policyholder,Yes,Approved Network
CUST000230,CLM000230,POL000205,18/06/2022,Collision,Disputed,14828,0,Denied,Policyholder,No,Approved Network
CUST000231,CLM000231,POL000956,29/11/2021,Other,Not At Fault,13179,12986,Closed,Police,Yes,Approved Network
CUST000232,CLM000232,POL000355,19/12/2022,Other,Not At Fault,21558,19234,Closed,Policyholder,No,Approved Network
CUST000233,CLM000233,POL001197,31/01/2023,Collision,At Fault,14428,0,Open,Third Party,No,Approved Network
CUST000234,CLM000234,POL001213,14/11/2021,Collision,At Fault,20406,17073,Closed,Policyholder,No,Customer Choice
CUST000235,CLM000235,POL000824,08/12/2022,Flood,Not At Fault,11159,10673,Closed,Police,No,Write Off
CUST000236,CLM000236,POL001026,21/08/2022,Hail,Disputed,6604,6384,Closed,Police,Yes,Customer Choice
CUST000237,CLM000237,POL000941,26/06/2022,Collision,At Fault,22703,0,Pending,Police,No,Approved Network
CUST000238,CLM000238,POL000168,19/03/2022,Collision,At Fault,17047,13965,Closed,Police,No,Approved Network
CUST000239,CLM000239,POL000368,14/10/2023,Hail,Not At Fault,23806,0,Open,Policyholder,No,Write Off
CUST000240,CLM000240,POL000536,07/04/2023,Other,At Fault,13425,0,Denied,Policyholder,Yes,Customer Choice
CUST000241,CLM000241,POL000963,07/05/2023,Flood,Not At Fault,3881,3513,Closed,Policyholder,No,Approved Network
CUST000242,CLM000242,POL000580,28/04/2023,Collision,Not At Fault,2564,0,Denied,Policyholder,No,Approved Network
