policy_id,customer_id,policy_start_date,policy_end_date,vehicle_make,vehicle_model,vehicle_year,vehicle_value,coverage_type,annual_premium,deductible,policy_status
POL000079,CUST000674,15/07/2022,01/07/2022,Ford,Civic,2019,49827,Third Party Fire Theft,475,1000,Active
POL000080,CUST000157,24/06/2022,18/05/2023,Nissan,Focus,2018,42855,Third Party Fire Theft,1022,250,Expired
POL000081,CUST000251,23/12/2021,25/08/2024,Vauxhall,Corolla,2020,48106,Comprehensive,1070,500,Active
POL000082,CUST000878,11/02/2023,09/06/2022,Ford,Corolla,2019,39938,Third Party,2247,1000,Expired
POL000083,CUST000530,15/02/2023,02/10/2023,Nissan,Corsa,2010,41159,Comprehensive,1002,750,Expired
POL000084,CUST000327,19/01/2023,19/04/2022,Vauxhall,C-Class,2012,44710,Comprehensive,2428,750,Active
POL000085,CUST000961,09/06/2021,05/12/2023,Nissan,208,2011,23000,Comprehensive,1226,500,Active
POL000086,CUST000895,25/11/2023,31/12/2024,Toyota,Qashqai,2017,18806,Third Party Fire Theft,437,250,Active
POL000087,CUST000097,31/05/2022,23/01/2022,Toyota,3 Series,2016,17809,Comprehensive,1449,250,Active
POL000088,CUST000513,10/02/2023,18/08/2024,Vauxhall,Qashqai,2011,19855,Comprehensive,2240,750,Cancelled
POL000089,CUST000216,02/04/2022,18/07/2024,Honda,3 Series,2015,46876,Comprehensive,2191,250,Active
POL000090,CUST001156,24/11/2023,15/11/2024,Peugeot,C-Class,2012,34388,Third Party Fire Theft,2178,1000,Active
POL000091,CUST000125,12/04/2023,18/08/2024,Mercedes,Corolla,2017,11458,Third Party Fire Theft,1553,1000,Active
POL000092,CUST001106,24/12/2022,10/11/2023,Volkswagen,Civic,2019,40524,Comprehensive,1783,750,Expired
POL000093,CUST000059,08/12/2022,12/05/2024,Mercedes,C-Class,2022,11853,Third Party,1668,1000,Active
POL000094,CUST000161,25/09/2023,24/12/2023,Peugeot,Civic,2012,45477,Third Party Fire Theft,609,750,Active
POL000095,CUST000284,15/09/2023,27/08/2023,Vauxhall,C-Class,2019,37222,Comprehensive,1343,250,Active
POL000096,CUST000106,14/01/2021,16/08/2023,Nissan,Corolla,2023,23320,Third Party,1970,250,Active
POL000097,CUST001129,25/10/2023,10/12/2022,Ford,Qashqai,2018,33618,Third Party Fire Theft,1864,250,Active
POL000098,CUST000228,12/10/2021,14/03/2022,Vauxhall,208,2010,22352,Third Party Fire Theft,1883,500,Expired
POL000099,CUST000318,20/06/2023,15/09/2023,Honda,Civic,2014,12297,Comprehensive,1800,750,Active
POL000100,CUST000802,06/12/2021,18/06/2023,BMW,Corsa,2012,32940,Third Party,1069,1000,Active
POL000101,CUST000874,17/04/2022,06/05/2022,BMW,Golf,2015,8203,Comprehensive,315,250,Active
POL000102,CUST000472,07/06/2021,27/08/2024,Toyota,3 Series,2019,44267,Third Party,905,500,Active
POL000103,CUST001080,20/11/2023,13/12/2022,Ford,Civic,2011,42941,Third Party,1681,1000,Active
POL000104,CUST000625,30/07/2022,16/04/2022,Vauxhall,A4,2018,22273,Comprehensive,1112,1000,Active
POL000105,CUST000013,10/03/2022,21/08/2023,Toyota,3 Series,2015,30368,Third Party Fire Theft,2290,1000,Active
POL000106,CUST001042,04/11/2021,25/02/2022,Mercedes,A4,2016,16650,Comprehensive,1194,250,Active
POL000107,CUST000694,18/01/2022,11/08/2023,Volkswagen,Focus,2014,35984,Third Party,1867,1000,Active
POL000108,CUST000973,19/11/2021,19/09/2024,Peugeot,Focus,2018,46941,Third Party Fire Theft,713,750,Expired
POL000109,CUST000113,12/01/2023,18/06/2022,Honda,Qashqai,2010,12382,Third Party,324,500,Active
POL000110,CUST000229,31/08/2021,17/09/2022,Honda,Golf,2014,5801,Third Party Fire Theft,2304,1000,Expired
POL000111,CUST000171,17/04/2022,01/11/2024,Peugeot,Civic,2020,46002,Comprehensive,615,1000,Expired
POL000112,CUST000295,30/04/2023,07/06/2022,Mercedes,Corolla,2019,24733,Comprehensive,870,750,Active
POL000113,CUST000189,08/11/2022,24/07/2023,Volkswagen,Corolla,2020,14969,Third Party,1024,1000,Expired
POL000114,CUST000426,21/08/2021,01/06/2023,BMW,Corolla,2015,40969,Comprehensive,2149,250,Active
POL000115,CUST000977,14/09/2023,29/09/2022,Audi,Golf,2016,21733,Comprehensive,1599,250,Active
POL000116,CUST001103,08/09/2023,30/07/2023,BMW,Corolla,2021,37449,Third Party Fire Theft,2253,250,Active
POL000117,CUST000658,09/09/2023,18/07/2023,Vauxhall,Civic,2013,31143,Third Party,688,1000,Active
POL000118,CUST000919,08/03/2022,11/06/2023,Peugeot,C-Class,2021,30705,Comprehensive,743,500,Active
POL000119,CUST000499,27/11/2021,30/01/2022,Mercedes,208,2022,33363,Comprehensive,1270,500,Active
POL000120,CUST000762,22/04/2023,17/08/2022,Vauxhall,Corsa,2010,35720,Comprehensive,2264,1000,Active
POL000121,CUST000866,15/02/2021,24/12/2022,Toyota,Corolla,2020,14972,Comprehensive,2128,500,Active
POL000122,CUST000826,15/05/2022,06/11/2022,Nissan,Focus,2017,38351,Comprehensive,603,500,Active
POL000123,CUST000071,30/03/2021,03/07/2024,Ford,Corsa,2019,41145,Third Party Fire Theft,1063,1000,Active
POL000124,CUST000248,19/09/2021,28/01/2024,Ford,Corolla,2013,27412,Third Party,2273,250,Active
POL000125,CUST000146,26/11/2021,26/12/2022,Toyota,208,2012,29078,Third Party,1115,1000,Active
POL000126,CUST000582,03/10/2021,20/06/2023,Vauxhall,3 Series,2021,27580,Comprehensive,2459,250,Active
POL000127,CUST000470,16/11/2023,29/04/2023,Ford,A4,2016,19855,Comprehensive,1177,250,Active
POL000128,CUST000193,22/03/2021,20/09/2024,BMW,Corolla,2021,41169,Comprehensive,1002,500,Expired
POL000129,CUST001092,28/10/2021,06/01/2023,Honda,C-Class,2011,24569,Comprehensive,1243,500,Expired
POL000130,CUST000494,25/04/2021,16/12/2024,Honda,Golf,2017,30738,Comprehensive,2360,250,Active
POL000131,CUST000052,07/12/2021,09/03/2022,Toyota,Qashqai,2023,11772,Comprehensive,602,250,Expired
POL000132,CUST000882,13/06/2022,04/12/2023,Peugeot,Civic,2015,29874,Third Party Fire Theft,1879,500,Active
POL000133,CUST000363,04/01/2022,22/06/2022,Honda,Golf,2016,24731,Comprehensive,459,750,Active
POL000134,CUST000917,25/11/2023,25/10/2022,Mercedes,Focus,2023,15131,Comprehensive,1503,250,Cancelled
POL000135,CUST000474,11/04/2023,12/11/2022,Peugeot,Corolla,2014,5788,Third Party Fire Theft,1491,250,Active
POL000136,CUST000521,08/02/2021,12/10/2024,Peugeot,Corolla,2018,21184,Comprehensive,1473,250,Cancelled
POL000137,CUST000691,04/08/2022,25/04/2024,Volkswagen,A4,2014,35897,Comprehensive,2363,500,Active
POL000138,CUST001152,25/06/2021,24/02/2024,Toyota,A4,2020,7889,Third Party,1414,1000,Active
POL000139,CUST000532,20/03/2022,03/05/2023,Mercedes,Civic,2014,14569,Third Party,1443,250,Active
POL000140,CUST000840,09/07/2023,20/06/2024,Vauxhall,Focus,2012,26657,Comprehensive,2279,250,Active
POL000141,CUST001089,24/08/2023,09/12/2022,BMW,Golf,2020,15141,Comprehensive,552,250,Active
POL000142,CUST000241,14/09/2023,08/03/2023,BMW,Focus,2010,24656,Comprehensive,1732,1000,Active
POL000143,CUST000536,16/12/2021,08/12/2023,Ford,3 Series,2011,26618,Third Party Fire Theft,2378,1000,Expired
POL000144,CUST000083,26/03/2022,22/04/2022,Audi,C-Class,2017,16934,Third Party,1030,250,Active
POL000145,CUST000982,22/04/2023,26/06/2023,Vauxhall,208,2010,47537,Third Party Fire Theft,797,250,Active
POL000146,CUST000951,20/10/2021,26/08/2022,Ford,Civic,2016,28286,Third Party,1728,750,Active
POL000147,CUST000611,08/01/2022,18/04/2022,Audi,3 Series,2023,12612,Third Party,847,1000,Expired
POL000148,CUST000574,13/11/2023,10/12/2022,Ford,C-Class,2023,37069,Comprehensive,1260,750,Active
POL000149,CUST000286,26/06/2022,08/08/2024,Audi,A4,2014,21205,Third Party Fire Theft,431,250,Active
POL000150,CUST000989,10/12/2021,27/03/2024,Honda,208,2012,32331,Third Party Fire Theft,1647,250,Cancelled
POL000151,CUST000459,03/12/2022,02/09/2024,BMW,208,2021,18934,Third Party,1157,250,Active
POL000152,CUST000126,18/07/2023,10/09/2023,Audi,3 Series,2021,15095,Third Party Fire Theft,1455,250,Active
POL000153,CUST000425,21/05/2021,02/09/2024,Toyota,Focus,2020,30958,Comprehensive,2332,500,Expired
POL000154,CUST000554,16/04/2022,26/12/2024,Nissan,Corsa,2016,42008,Comprehensive,820,500,Expired
POL000155,CUST000610,14/02/2023,24/04/2023,Audi,Corsa,2018,23706,Comprehensive,329,500,Active
POL000156,CUST001182,01/03/2023,17/02/2024,Vauxhall,Corolla,2011,48516,Third Party Fire Theft,2351,750,Active
POL000157,CUST000112,28/09/2021,09/03/2024,Mercedes,Corolla,2017,43066,Third Party Fire Theft,808,1000,Expired
POL000158,CUST000402,11/08/2021,29/08/2024,Honda,208,2018,36472,Third Party Fire Theft,1560,250,Active
POL000159,CUST000122,03/02/2021,22/06/2023,BMW,Corsa,2020,39629,Third Party Fire Theft,1858,1000,Cancelled
POL000160,CUST000273,19/02/2022,25/10/2022,Honda,Qashqai,2012,28004,Comprehensive,315,500,Active
POL000161,CUST000398,07/12/2023,22/12/2024,Toyota,A4,2011,25431,Third Party Fire Theft,1296,250,Active
POL000162,CUST000471,30/10/2023,09/06/2024,Ford,Corolla,2016,45088,Comprehensive,1907,250,Active
POL000163,CUST000985,10/05/2023,25/01/2022,Vauxhall,3 Series,2014,49135,Third Party,2139,750,Expired
POL000164,CUST001134,03/11/2021,15/08/2023,BMW,Corolla,2014,43015,Comprehensive,2316,1000,Expired
POL000165,CUST000569,17/07/2021,08/07/2024,BMW,C-Class,2019,39502,Comprehensive,1553,750,Active
POL000166,CUST001138,30/12/2021,22/02/2024,Honda,C-Class,2014,36385,Comprehensive,2043,500,Cancelled
POL000167,CUST000897,02/09/2023,09/10/2023,Honda,Qashqai,2013,9663,Comprehensive,1388,1000,Active
POL000168,CUST000820,21/03/2021,21/12/2024,Honda,Qashqai,2022,43677,Comprehensive,1661,500,Active
POL000169,CUST000853,25/12/2023,26/03/2022,Ford,Corolla,2014,17818,Comprehensive,677,750,Expired
POL000170,CUST000710,28/10/2023,19/07/2022,Honda,208,2022,27686,Third Party Fire Theft,1498,750,Expired
POL000171,CUST000321,29/08/2021,24/12/2024,Peugeot,C-Class,2013,28977,Third Party Fire Theft,775,250,Expired
POL000172,CUST000179,10/07/2021,26/12/2023,Audi,Corolla,2022,45931,Comprehensive,1589,1000,Expired
POL000173,CUST000897,15/09/2023,03/06/2024,Audi,Corsa,2015,23454,Comprehensive,628,1000,Active
POL000174,CUST000219,24/09/2021,13/07/2023,Mercedes,Corsa,2013,18358,Third Party Fire Theft,2139,250,Active
POL000175,CUST000789,03/01/2021,18/11/2023,Peugeot,208,2011,11668,Third Party Fire Theft,1486,1000,Cancelled
POL000176,CUST000492,03/06/2023,08/07/2023,Toyota,Golf,2018,45769,Comprehensive,737,500,Active
POL000177,CUST000061,06/12/2023,01/07/2023,Ford,3 Series,2011,14921,Third Party,1690,500,Active
POL000178,CUST001078,12/05/2023,21/07/2022,Volkswagen,C-Class,2018,39959,Third Party Fire Theft,2073,750,Active
POL000179,CUST000538,29/01/2023,07/06/2023,Ford,A4,2019,37328,Third Party,1522,500,Active
POL000180,CUST000848,30/03/2021,12/03/2024,Vauxhall,Corolla,2015,13859,Comprehensive,1823,1000,Expired
POL000181,CUST000988,22/12/2023,02/08/2024,Toyota,C-Class,2018,28970,Third Party,2363,250,Active
POL000182,CUST000065,29/05/2023,11/05/2023,Toyota,Focus,2018,13872,Comprehensive,2144,750,Expired
POL000183,CUST000586,15/04/2022,04/02/2023,Honda,3 Series,2012,24230,Third Party,1619,250,Active
POL000184,CUST000171,15/09/2023,30/11/2024,Peugeot,Civic,2010,31708,Comprehensive,1167,750,Active
POL000185,CUST000535,20/02/2023,23/11/2023,Peugeot,Focus,2010,23847,Comprehensive,2111,750,Active
POL000186,CUST000693,19/12/2022,04/01/2023,Nissan,Corsa,2012,32105,Third Party Fire Theft,1283,250,Active
POL000187,CUST000108,20/07/2021,04/10/2023,Mercedes,Corsa,2014,9922,Comprehensive,1562,500,Active
POL000188,CUST001186,22/05/2023,22/01/2022,Ford,Corolla,2022,9392,Third Party Fire Theft,1624,500,Active
POL000189,CUST000814,02/10/2021,18/01/2022,Honda,Qashqai,2012,18541,Third Party Fire Theft,2353,500,Active
POL000190,CUST001005,06/06/2022,20/05/2022,Toyota,Corolla,2021,24551,Comprehensive,1318,500,Active
POL000191,CUST000452,05/09/2023,25/01/2022,Honda,C-Class,2018,24381,Third Party Fire Theft,2089,250,Active
POL000192,CUST000590,22/04/2022,22/04/2024,Nissan,Corolla,2018,40995,Comprehensive,1106,1000,Active
POL000193,CUST001040,21/06/2021,20/07/2022,Peugeot,3 Series,2012,27948,Third Party Fire Theft,2193,750,Active
POL000194,CUST000327,04/08/2022,11/12/2024,Peugeot,3 Series,2012,31728,Third Party Fire Theft,1709,250,Active
POL000195,CUST000608,17/04/2023,01/08/2022,Honda,Golf,2021,7024,Third Party Fire Theft,1618,500,Expired
POL000196,CUST000659,12/06/2022,02/07/2024,Audi,3 Series,2023,21713,Comprehensive,1441,500,Active
POL000197,CUST000002,23/01/2022,21/12/2023,Ford,3 Series,2014,7486,Third Party Fire Theft,704,250,Expired
POL000198,CUST001034,12/01/2021,26/03/2023,Nissan,A4,2011,6155,Comprehensive,2086,750,Expired
POL000199,CUST000434,15/01/2021,04/08/2023,Ford,Civic,2015,15082,Third Party Fire Theft,893,250,Active
POL000200,CUST000125,07/12/2023,31/05/2023,Toyota,3 Series,2016,42245,Third Party,311,250,Expired
POL000201,CUST001105,30/08/2021,31/01/2023,Peugeot,Qashqai,2022,23569,Comprehensive,1617,1000,Active
POL000202,CUST000485,01/12/2023,11/03/2022,Volkswagen,Corsa,2018,12086,Comprehensive,1842,250,Expired
POL000203,CUST000652,15/01/2021,18/02/2022,Nissan,Civic,2015,7317,Third Party,2425,1000,Expired
POL000204,CUST001174,08/02/2023,08/07/2022,Vauxhall,208,2012,41389,Comprehensive,913,750,Active
POL000205,CUST000800,25/02/2022,27/04/2022,Mercedes,A4,2021,9491,Third Party Fire Theft,2286,250,Active
POL000206,CUST000873,09/10/2022,21/03/2023,Toyota,3 Series,2014,20916,Comprehensive,1168,250,Active
POL000207,CUST000129,18/04/2023,07/09/2022,Honda,A4,2013,20248,Comprehensive,1111,500,Active
POL000208,CUST000438,12/01/2023,03/09/2022,Vauxhall,Focus,2014,7511,Comprehensive,2122,250,Active
POL000209,CUST000751,07/08/2021,26/06/2022,Honda,3 Series,2017,29226,Comprehensive,1066,500,Active
POL000210,CUST000501,13/11/2021,24/09/2022,Peugeot,A4,2017,30025,Third Party Fire Theft,381,500,Active
POL000211,CUST001082,23/05/2023,09/02/2024,Volkswagen,C-Class,2015,47314,Comprehensive,2044,500,Active
POL000212,CUST000211,04/06/2022,14/01/2023,Honda,Corolla,2010,12848,Comprehensive,821,750,Cancelled
POL000213,CUST000902,20/06/2022,16/08/2022,Toyota,Civic,2017,19274,Third Party,1627,1000,Expired
POL000214,CUST000045,18/05/2023,13/01/2023,Ford,208,2017,35958,Third Party Fire Theft,1293,500,Active
POL000215,CUST001121,19/01/2023,03/06/2023,BMW,Corsa,2011,40233,Comprehensive,1825,250,Active
POL000216,CUST000535,19/07/2022,27/08/2023,Mercedes,3 Series,2013,21304,Comprehensive,1769,250,Active
POL000217,CUST000461,25/03/2023,14/08/2024,Audi,Corsa,2021,16294,Third Party,1813,500,Active
POL000218,CUST000391,22/02/2022,05/06/2022,Honda,C-Class,2011,31425,Comprehensive,1080,500,Expired
POL000219,CUST001068,27/04/2023,17/07/2024,Volkswagen,Corsa,2013,8175,Comprehensive,1751,250,Active
POL000220,CUST000027,16/09/2023,21/07/2023,Honda,Corolla,2021,45617,Third Party Fire Theft,858,500,Active
POL000221,CUST000794,02/01/2022,24/05/2024,Audi,Corsa,2022,32775,Third Party Fire Theft,2438,1000,Expired
POL000222,CUST001121,29/01/2023,25/10/2023,Nissan,C-Class,2022,14425,Comprehensive,2337,1000,Cancelled
POL000223,CUST000975,18/09/2023,12/06/2023,Audi,Corsa,2019,31013,Third Party Fire Theft,2053,750,Active
POL000224,CUST000548,04/06/2022,28/11/2022,Peugeot,Golf,2016,32928,Third Party,1159,500,Active
POL000225,CUST000621,21/09/2022,01/06/2022,Volkswagen,Focus,2018,49990,Comprehensive,1912,750,Active
POL000226,CUST000567,07/12/2022,22/07/2023,Peugeot,208,2023,46212,Comprehensive,855,750,Active
POL000227,CUST000704,27/03/2023,08/05/2022,Honda,A4,2023,13210,Comprehensive,455,750,Cancelled
POL000228,CUST000185,10/10/2021,23/02/2024,BMW,Civic,2017,7759,Comprehensive,2349,500,Active
POL000229,CUST001093,01/09/2021,06/03/2024,Mercedes,Civic,2021,21091,Third Party Fire Theft,1680,750,Active
POL000230,CUST001154,16/04/2022,13/11/2023,Toyota,Corsa,2018,5002,Third Party,1124,1000,Expired
POL000231,CUST000848,04/07/2023,04/05/2022,Toyota,Focus,2017,45958,Comprehensive,1892,750,Expired
POL000232,CUST000599,28/11/2021,13/06/2023,Volkswagen,Focus,2011,35160,Third Party Fire Theft,1381,1000,Cancelled
POL000233,CUST000806,25/07/2021,27/06/2023,Honda,C-Class,2016,25707,Comprehensive,1503,1000,Active
POL000234,CUST001178,16/03/2022,31/12/2022,BMW,Focus,2011,20248,Third Party,792,500,Active
POL000235,CUST000079,08/11/2023,21/06/2024,Peugeot,208,2022,10773,Third Party Fire Theft,968,750,Active
POL000236,CUST000579,01/04/2023,23/05/2022,Audi,Focus,2021,17786,Third Party Fire Theft,374,500,Active
POL000237,CUST000413,25/11/2022,04/10/2024,Mercedes,Corsa,2020,20037,Comprehensive,670,1000,Active
POL000238,CUST000546,17/04/2021,15/02/2023,Vauxhall,A4,2011,6885,Third Party,886,250,Active
POL000239,CUST000169,26/11/2021,15/03/2024,Honda,Qashqai,2013,44828,Third Party,628,750,Active
POL000240,CUST000681,08/03/2023,01/01/2023,BMW,Focus,2010,21331,Third Party Fire Theft,889,500,Expired
POL000241,CUST000583,11/01/2021,04/10/2024,BMW,Corolla,2014,45612,Comprehensive,2090,250,Active
POL000242,CUST000515,06/07/2021,11/08/2022,Audi,208,2015,27495,Third Party Fire Theft,1076,750,Expired
POL000243,CUST000032,25/10/2021,22/10/2022,BMW,Qashqai,2018,18450,Third Party Fire Theft,2322,750,Active
